Time -> 43.24 seconds ; Score -> 12500 points
Time -> 15.54 seconds ; Score -> 2750 points
Time -> 37.69 seconds ; Score -> 10650 points
Time -> 64.22 seconds ; Score -> 21550 points
Time -> 10.74 seconds ; Score -> 1600 points
Time -> 21.15 seconds ; Score -> 3350 points
Time -> 21.64 seconds ; Score -> 3450 points
Time -> 9.19 seconds ; Score -> 1750 points
Time -> 17.01 seconds ; Score -> 2950 points
Time -> 18.44 seconds ; Score -> 5300 points
Time -> 23.22 seconds ; Score -> 300 points
Time -> 11.70 seconds ; Score -> 700 points
Time -> 36.46 seconds ; Score -> 11200 points
Time -> 8.41 seconds ; Score -> 150 points
Time -> 3.12 seconds ; Score -> 0 points
Time -> 14.42 seconds ; Score -> 2100 points
Time -> 51.13 seconds ; Score -> 15950 points
Time -> 6.77 seconds ; Score -> 1750 points
Time -> 47.31 seconds ; Score -> 14250 points
Time -> 15.39 seconds ; Score -> 2700 points
Time -> 14.97 seconds ; Score -> 2600 points
Time -> 20.97 seconds ; Score -> 7450 points
Time -> 7.98 seconds ; Score -> 1900 points
Time -> 62.71 seconds ; Score -> 24000 points
Time -> 19.34 seconds ; Score -> 4400 points
Time -> 10.09 seconds ; Score -> 700 points
Time -> 48.84 seconds ; Score -> 17050 points
Time -> 37.06 seconds ; Score -> 11000 points
Time -> 10.03 seconds ; Score -> 2850 points
Time -> 9.84 seconds ; Score -> 2150 points
Time -> 24.99 seconds ; Score -> 6650 points
Time -> 40.38 seconds ; Score -> 10700 points
Time -> 13.11 seconds ; Score -> 2900 points
Time -> 20.50 seconds ; Score -> 4050 points
Time -> 80.76 seconds ; Score -> 27600 points
Time -> 11.36 seconds ; Score -> 3750 points
Time -> 22.34 seconds ; Score -> 6350 points
Time -> 27.13 seconds ; Score -> 7600 points
Time -> 28.28 seconds ; Score -> 7800 points
Time -> 43.52 seconds ; Score -> 12300 points
Time -> 20.35 seconds ; Score -> 5400 points
Time -> 11.78 seconds ; Score -> 3450 points
Time -> 6.46 seconds ; Score -> 500 points
Time -> 50.99 seconds ; Score -> 10150 points
Time -> 16.94 seconds ; Score -> 4150 points
Time -> 12.52 seconds ; Score -> 3050 points
Time -> 62.34 seconds ; Score -> 18350 points
Time -> 38.51 seconds ; Score -> 9400 points
Time -> 43.41 seconds ; Score -> 12850 points
Time -> 44.03 seconds ; Score -> 12350 points
Time -> 69.97 seconds ; Score -> 20100 points
Time -> 11.35 seconds ; Score -> 1300 points
Time -> 12.44 seconds ; Score -> 0 points
Time -> 12.13 seconds ; Score -> 800 points
Time -> 13.80 seconds ; Score -> 800 points
Time -> 34.57 seconds ; Score -> 6700 points
Time -> 14.92 seconds ; Score -> 2000 points
Time -> 12.06 seconds ; Score -> 2300 points
Time -> 13.58 seconds ; Score -> 2350 points
Time -> 9.38 seconds ; Score -> 1150 points
